event_date,event_type,capex_signal,capex_value_low_usd_bn,capex_value_high_usd_bn,capex_midpoint_usd_bn,prior_guidance_midpoint_usd_bn,revision_direction,technology_driver,source_title,source_url,analyst_note
2018-01-18,earnings_call,capex_neutral,10.5,11.0,10.75,,neutral,,SEC 6-K 0001193125-18-012698,https://www.sec.gov/Archives/edgar/data/1046179/000119312518012698/d703497d6k.htm,The management further expects the 2018 capital budget to be between US$10.5 billion and US$11 billion. TSMC’s 2017 Fourth quarter consolidate
2018-04-19,earnings_call,capex_up,11.5,12.0,11.75,10.75,up,,SEC 6-K 0001193125-18-121859,https://www.sec.gov/Archives/edgar/data/1046179/000119312518121859/d573889d6k.htm,7%. The management further expects 2018 capital budget to be between US$11.5 billion and US$12 billion. TSMC’s 2018 first quarter consolidated
2019-01-17,earnings_call,capex_down,10.0,11.0,10.5,11.75,down,,SEC 6-K 0001193125-19-010925,https://www.sec.gov/Archives/edgar/data/1046179/000119312519010925/d644503d6k.htm,The management further expects the 2019 capital budget to be between US$10 billion and US$11 billion. TSMC’s 2018 fourth quarter consolidate
2019-10-17,earnings_call,capex_acceleration,14.0,15.0,14.5,10.5,up,,SEC 6-K 0001564590-19-037052,https://www.sec.gov/Archives/edgar/data/1046179/000156459019037052/tsm-ex991_6.htm,The management further expects the 2019 capital budget to be between US$14 billion and US$15 billion. TSMC’s 2019 third quarter consolidated
2020-01-16,earnings_call,capex_up,15.0,16.0,15.5,14.5,up,,SEC 6-K 0001564590-20-001200,https://www.sec.gov/Archives/edgar/data/1046179/000156459020001200/tsm-ex991_8.htm,The management further expects the 2020 capital budget to be between US$15 billion and US$16 billion. TSMC’s 2019 fourth quarter consolidate
2020-07-16,earnings_call,capex_up,16.0,17.0,16.5,15.5,up,CoWoS,SEC 6-K 0001564590-20-032443,https://www.sec.gov/Archives/edgar/data/1046179/000156459020032443/tsm-ex991_64.htm,The management further expects the 2020 capital budget to be between US$16 billion and US$17 billion. TSMC’s 2020 second quarter consolidate
2021-01-14,earnings_call,capex_acceleration,25.0,28.0,26.5,16.5,up,CoWoS,SEC 6-K 0001564590-21-001132,https://www.sec.gov/Archives/edgar/data/1046179/000156459021001132/tsm-ex991_6.htm,The management further expects the 2021 capital budget to be between US$25 billion and US$28 billion. TSMC’s 2020 fourth quarter consolidate
2021-04-15,earnings_call,capex_up,30.0,30.0,30.0,26.5,up,CoWoS,SEC 6-K 0001564590-21-018896,https://www.sec.gov/Archives/edgar/data/1046179/000156459021018896/tsm-ex991_6.htm,The management further expects the 2021 capital budget to be around US$30 billion. TSMC’s 20 21 first quarter consolidate
2022-01-13,earnings_call,capex_acceleration,40.0,44.0,42.0,30.0,up,CoWoS,SEC 6-K 0001564590-22-001132,https://www.sec.gov/Archives/edgar/data/1046179/000156459022001132/tsm-ex991_6.htm,The management further expects the 2022 capital budget to be between US$40 billion and US$44 billion. TSMC’s 2021 fourth quarter consolidate
2023-01-12,earnings_call,capex_neutral,32.0,36.0,34.0,36.3,down,N3/N5/CoWoS,TSMC Q4 2022 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2022/q4,首次給出 2023 全年 capex 32-36B；vs 2022 實際 ~36.3B 微下修；70% 先進製程
2023-04-20,earnings_call,capex_neutral,32.0,36.0,34.0,34.0,neutral,N3/CoWoS,TSMC Q1 2023 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2023/q1,維持 32-36B；管理層強調近端景氣不確定但長期投資不變
2023-07-20,earnings_call,capex_down,32.0,32.0,32.0,34.0,down,N3,TSMC Q2 2023 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2023/q2,下修至 32B 低標；需求疲弱
2023-10-19,earnings_call,capex_neutral,32.0,32.0,32.0,32.0,neutral,N3/CoWoS,TSMC Q3 2023 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2023/q3,維持 32B；CoWoS 開始喊擴產
2024-01-18,earnings_call,capex_neutral,28.0,32.0,30.0,32.0,down,N2/CoWoS,TSMC Q4 2023 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2023/q4,2024 初始 guidance 28-32B；對 N3 demand 偏保守；CoWoS 雙倍擴產
2024-04-18,earnings_call,capex_neutral,28.0,32.0,30.0,30.0,neutral,N2/CoWoS,TSMC Q1 2024 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2024/q1,維持 28-32B；CoWoS 雙倍擴產持續
2024-07-18,earnings_call,capex_up,30.0,32.0,31.0,30.0,up,CoWoS/AI,TSMC Q2 2024 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2024/q2,微上修至 30-32B；AI 需求強勁推升 CoWoS
2024-10-17,earnings_call,capex_up,30.0,32.0,31.0,31.0,neutral,N2/CoWoS,TSMC Q3 2024 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2024/q3,維持 30-32B 高標；2024 實際後來落在 ~29.8B
2025-01-16,earnings_call,capex_up,38.0,42.0,40.0,31.0,up,N2/CoWoS/AI,TSMC Q4 2024 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2024/q4,2025 初始 guidance 大幅上修至 38-42B；AI 推升 N2 與 CoWoS 加速擴產
2025-04-17,earnings_call,capex_neutral,38.0,42.0,40.0,40.0,neutral,N2/CoWoS,TSMC Q1 2025 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2025/q1,維持 38-42B
2025-07-17,earnings_call,capex_neutral,38.0,42.0,40.0,40.0,neutral,N2/CoWoS/AI,TSMC Q2 2025 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2025/q2,雖上修營收，capex 維持 38-42B；管理層強調 capex 紀律
2025-10-16,earnings_call,capex_up,40.0,42.0,41.0,40.0,up,N2/CoWoS/AI,TSMC Q3 2025 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2025/q3,收斂至 40-42B；高標
2026-01-15,earnings_call,capex_acceleration,52.0,56.0,54.0,41.0,up,N2/A16/CoWoS/AI,TSMC Q4 2025 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2025/q4,2026 初始 guidance 大幅上修至 52-56B (vs 2025 實際 40.9B 約 +32%)；70-80% 先進製程；AI capex 全面加速
2026-04-16,earnings_call,capex_up,52.0,56.0,55.0,54.0,up,N2/A16/CoWoS/AI,TSMC Q1 2026 Earnings Call,https://investor.tsmc.com/english/quarterly-results/2026/q1,管理層表示 2026 capex 將落在 52-56B 高端；Q1 capex $11.1B 已加速 N3/N2 擴產
